Species,Common_name,Begin_study_date,End_study_date,Life_history_process,sex,Fucntional_form,Value,Units,Parameter_name,Sample_size,Method,Large_marine_ecosystem,More_specific_location,Reference,,
Larimichthys polyactis,Small yellow croaker,2010,2010,weight at length ,female,power function,3.13*10^-2,NA,a,72,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,2010,2010,weight at length ,female,power function,2.75,NA,b,72,NA,Yellow Sea,southern Yellow Sea ,Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,growth,both,von Bertalanffy,347.37,mm,Linf,NA,ELEFAN,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,growth,both,von Bertalanffy,0.24,NA,k,NA,ELEFAN,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,growth,both,von Bertalanffy,-0.59,NA,t0,NA,ELEFAN,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,natural mortality,both,Pauly's empirical equation,0.3,NA,M,NA,NA,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,natural mortality,both,Pauly's empirical equation,20,°C,T,NA,NA,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,total mortality,both,NA,0.64,NA,Z,NA,length-converted catch curve,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,fishing mortality,both,NA,0.34,NA,F,NA,NA,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1983,1983,growth,both,von Bertalanffy,292.00,mm,Linf,NA,ELEFAN,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
